Well,DELTA,FLUO^O,STDEV%,STDEV
4- A6,0.226795096,571,24.40725542,0.055506228
4- A7,0.254716981,1563.5,10.06625738,0.025659736
4- A8,-0.030053667,698.75,-71.90911526,0.021383073
4- A9,-0.062112521,4314.75,-23.69536953,0.014690661
4- A10,-0.057287545,3159.5,-34.94171533,0.020089059
4- A11,-0.041295196,4038,-17.70025728,0.007325685
4- A12,-0.032876712,821.25,-109.3256656,0.035579814
4- B1,0.321891686,983.25,14.31066675,0.046218304
4- B2,0.458487285,2300.5,2.942144027,0.01348187
4- B3,-0.029699144,4528.75,-69.7640821,0.020713164
4- B4,0.343060232,1336.5,3.261972494,0.011193308
4- B5,-0.033164593,5284.25,-14.90477674,0.00493612
4- B6,0.387096774,488.25,5.844119202,0.022602644
4- B7,-0.044316644,2956,-34.48785756,0.01530203
4- B8,-0.028004844,3303,-59.11223212,0.016480904
4- B9,-0.002524898,1782.25,-624.7920325,0.018548117
4- B10,0.400576369,1388,8.77089571,0.03521085
4- B11,-0.063699655,3842.25,-36.80262567,0.023384258
4- B12,-0.00472476,5608.75,-688.0394725,0.03278977
4- C1,-0.01628854,3867.75,-128.2086611,0.020887415
4- C2,-0.036643026,5922,-33.77631389,0.012416949
4- C3,0.386035313,311.5,7.159838657,0.027659074
4- C4,-0.041583433,15018,-21.12602491,0.008786282
4- C5,-0.02293482,3586.25,-48.76436037,0.011136542
4- C6,0.472031547,1711.75,7.859476283,0.037097812
4- C7,0.10438293,1300.5,8.2660263,0.008628183
4- C8,0.420547945,1642.5,6.290598226,0.026461291
4- C9,0.030180608,1052,76.16298169,0.022712528
4- C10,0.340413943,1377,3.717774393,0.012651396
4- C11,0.001377094,2178.5,535.0652545,0.006758316
4- C12,-0.015268955,4289.75,-51.02095869,0.007852603
4- D1,-0.042479339,3025,-149.9081495,0.058714038
4- D2,0.470072751,1512,8.057888432,0.038011385
4- D3,0.009502003,2183.75,63.34322706,0.006034312
4- D4,0.376928729,340.25,20.29431229,0.077517861
4- D5,-0.024109749,4282.5,-23.9422123,0.00573978
4- D6,0.47725112,1840.75,6.023639869,0.028781065
4- D7,0.459693878,1960,4.867774906,0.022398405
4- D8,0.399628253,1345,3.165762163,0.012648646
4- D9,-0.003998103,3689.25,-227.452156,0.00945947
4- D10,0.052631579,3391.5,52.63743988,0.028169149
4- D11,-0.014653884,6858.25,-112.4854308,0.017214202
4- D12,-0.036279975,5650.5,-26.92363876,0.009682383
4- E1,-0.022366674,3576.75,-48.24747529,0.011303661
4- E2,0.523227384,920.25,6.575955848,0.034397494
4- E3,-0.000360347,6937.75,-1687.261818,0.013994988
4- E4,0.520164927,1940.25,4.327159737,0.022500511
4- E5,-0.021581215,5919.5,-49.27158434,0.010630396
4- E6,0.013154155,6157.75,104.479297,0.013739864
4- E7,-0.013178613,7303.5,-120.3336068,0.016165859
4- E8,-0.019095848,4739.25,-64.56602082,0.012484922
4- E9,-0.030412255,6658.5,-16.19004921,0.004942483
4- E10,0.364708049,1357.25,6.836101204,0.02497629
4- E11,0.450152735,1800.5,9.769740049,0.044069046
4- E12,-0.020905123,5441.25,-71.4429924,0.014729523
4- F1,0.07428004,1258.75,10.59453189,0.007854355
4- F2,0.502565355,2046.5,1.992609458,0.010009222
4- F3,-0.002498829,6403,-243.9533734,0.005920794
4- F4,0.000990519,1766.75,1461.270888,0.025859051
4- F5,0.082379863,546.25,22.06997766,0.018121776
4- F6,-0.025085883,3129.25,-50.17906713,0.012716322
4- F7,0.001559273,5932.25,501.7812973,0.006694424
4- F8,0.178153125,2027.75,8.629119316,0.015362722
4- F9,0.337007874,317.5,11.33072534,0.03823681
4- F10,0.012215569,3131.25,77.15406723,0.009420512
4- F11,-0.015596525,5898.75,-74.06959216,0.011477596
4- F12,-0.031044481,3535.25,-31.49037784,0.009771163
4- G1,0.207132565,694,20.02740776,0.041439925
4- G2,0.112170088,341,22.92558165,0.025906786
4- G3,-0.019241495,2689.5,-118.987134,0.023008119
4- G4,-0.006278186,2827.25,-177.3919332,0.011226875
4- G5,0.006629625,3959.5,116.1648238,0.007511407
4- G6,0.033768573,555.25,55.34010778,0.018700227
4- G7,0.228237015,341.75,12.25254246,0.028071751
